name,city,state_code,country_code,lat,lon,coordinates,distance,query
KaloBios Pharmaceuticals,South San Francisco,CA,USA,37.6534817,-122.3956474,"[-122.3956474, 37.6534817]",473,companies nearby
iZumi Bio,South San Francisco,CA,USA,37.661523,-122.398667,"[-122.398667, 37.661523]",594,companies nearby
Sutro Biopharma,South San Francisco,CA,USA,37.647198,-122.394584,"[-122.394584, 37.647198]",1104,companies nearby
diaDexus,South San Francisco,CA,USA,37.6625446,-122.3888507,"[-122.3888507, 37.6625446]",1187,companies nearby
CoMentis,South San Francisco,CA,USA,37.646457,-122.394008,"[-122.394008, 37.646457]",1200,companies nearby
VistaGen Therapeutics,South San Francisco,CA,USA,37.6656476,-122.3843489,"[-122.3843489, 37.6656476]",1711,companies nearby
Alios BioPharma,South San Francisco,CA,USA,37.6664003,-122.451448,"[-122.451448, 37.6664003]",4690,companies nearby
